index,Time,GEN,CU
G0090,1,0.0,0.0
G0090,2,0.0,0.0
G0090,3,0.0,0.0
G0090,4,0.0,0.0
G0090,5,0.0,0.0
G0090,6,0.0,0.0
G0090,7,0.0,0.0
G0090,8,0.0,0.0
G0090,9,0.0,0.0
G0090,10,0.0,0.0
G0090,11,0.0,0.0
G0090,12,0.0,0.0
G0090,13,0.0,0.0
G0090,14,0.0,0.0
G0090,15,0.0,0.0
G0090,16,0.0,0.0
G0090,17,0.0,0.0
G0090,18,0.0,0.0
G0090,19,0.0,0.0
G0090,20,0.0,0.0
G0090,21,0.0,0.0
G0090,22,0.0,0.0
G0090,23,0.0,0.0
G0090,24,0.0,0.0
G0190,1,0.0,0.0
G0190,2,0.0,0.0
G0190,3,0.0,0.0
G0190,4,0.0,0.0
G0190,5,0.0,0.0
G0190,6,0.0,0.0
G0190,7,0.0,0.0
G0190,8,0.0,0.0
G0190,9,0.0,0.0
G0190,10,0.0,0.0
G0190,11,0.0,0.0
G0190,12,0.0,0.0
G0190,13,0.0,0.0
G0190,14,0.0,0.0
G0190,15,0.0,0.0
G0190,16,0.0,0.0
G0190,17,0.0,0.0
G0190,18,0.0,0.0
G0190,19,0.0,0.0
G0190,20,0.0,0.0
G0190,21,0.0,0.0
G0190,22,0.0,0.0
G0190,23,0.0,0.0
G0190,24,0.0,0.0
G0315,1,0.0,0.0
G0315,2,0.0,0.0
G0315,3,0.0,0.0
G0315,4,0.0,0.0
G0315,5,0.0,0.0
G0315,6,0.0,0.0
G0315,7,0.0,0.0
G0315,8,0.0,0.0
G0315,9,0.0,0.0
G0315,10,0.0,0.0
G0315,11,0.0,0.0
G0315,12,0.0,0.0
G0315,13,0.0,0.0
G0315,14,0.0,0.0
G0315,15,0.0,0.0
G0315,16,0.0,0.0
G0315,17,0.0,0.0
G0315,18,0.0,0.0
G0315,19,0.0,0.0
G0315,20,0.0,0.0
G0315,21,0.0,0.0
G0315,22,0.0,0.0
G0315,23,0.0,0.0
G0315,24,0.0,0.0
G0443,1,0.0,0.0
G0443,2,0.0,0.0
G0443,3,0.0,0.0
G0443,4,0.0,0.0
G0443,5,0.0,0.0
G0443,6,0.0,0.0
G0443,7,0.0,0.0
G0443,8,0.0,0.0
G0443,9,0.0,0.0
G0443,10,0.0,0.0
G0443,11,0.0,0.0
G0443,12,0.0,0.0
G0443,13,0.0,0.0
G0443,14,0.0,0.0
G0443,15,0.0,0.0
G0443,16,0.0,0.0
G0443,17,0.0,0.0
G0443,18,0.0,0.0
G0443,19,0.0,0.0
G0443,20,0.0,0.0
G0443,21,0.0,0.0
G0443,22,0.0,0.0
G0443,23,0.0,0.0
G0443,24,0.0,0.0
G0445,1,0.0,0.0
G0445,2,0.0,0.0
G0445,3,0.0,0.0
G0445,4,0.0,0.0
G0445,5,0.0,0.0
G0445,6,0.0,0.0
G0445,7,0.0,0.0
G0445,8,0.0,0.0
G0445,9,0.0,0.0
G0445,10,0.0,0.0
G0445,11,0.0,0.0
G0445,12,0.0,0.0
G0445,13,0.0,0.0
G0445,14,0.0,0.0
G0445,15,0.0,0.0
G0445,16,0.0,0.0
G0445,17,0.0,0.0
G0445,18,0.0,0.0
G0445,19,0.0,0.0
G0445,20,0.0,0.0
G0445,21,0.0,0.0
G0445,22,0.0,0.0
G0445,23,0.0,0.0
G0445,24,0.0,0.0
G0455,1,0.0,0.0
G0455,2,0.0,0.0
G0455,3,0.0,0.0
G0455,4,0.0,0.0
G0455,5,0.0,0.0
G0455,6,0.0,0.0
G0455,7,0.0,0.0
G0455,8,0.0,0.0
G0455,9,0.0,0.0
G0455,10,0.0,0.0
G0455,11,0.0,0.0
G0455,12,0.0,0.0
G0455,13,0.0,0.0
G0455,14,0.0,0.0
G0455,15,0.0,0.0
G0455,16,0.0,0.0
G0455,17,0.0,0.0
G0455,18,0.0,0.0
G0455,19,0.0,0.0
G0455,20,0.0,0.0
G0455,21,0.0,0.0
G0455,22,0.0,0.0
G0455,23,0.0,0.0
G0455,24,0.0,0.0
G0567,1,0.0,0.0
G0567,2,0.0,0.0
G0567,3,0.0,0.0
G0567,4,0.0,0.0
G0567,5,0.0,0.0
G0567,6,0.0,0.0
G0567,7,0.0,0.0
G0567,8,0.0,0.0
G0567,9,0.0,0.0
G0567,10,0.0,0.0
G0567,11,0.0,0.0
G0567,12,0.0,0.0
G0567,13,0.0,0.0
G0567,14,0.0,0.0
G0567,15,0.0,0.0
G0567,16,0.0,0.0
G0567,17,0.0,0.0
G0567,18,0.0,0.0
G0567,19,0.0,0.0
G0567,20,0.0,0.0
G0567,21,0.0,0.0
G0567,22,0.0,0.0
G0567,23,0.0,0.0
G0567,24,0.0,0.0
G0704,1,0.0,0.0
G0704,2,0.0,0.0
G0704,3,0.0,0.0
G0704,4,0.0,0.0
G0704,5,0.0,0.0
G0704,6,0.0,0.0
G0704,7,0.0,0.0
G0704,8,0.0,0.0
G0704,9,0.0,0.0
G0704,10,0.0,0.0
G0704,11,0.0,0.0
G0704,12,0.0,0.0
G0704,13,0.0,0.0
G0704,14,0.0,0.0
G0704,15,0.0,0.0
G0704,16,0.0,0.0
G0704,17,0.0,0.0
G0704,18,0.0,0.0
G0704,19,0.0,0.0
G0704,20,0.0,0.0
G0704,21,0.0,0.0
G0704,22,0.0,0.0
G0704,23,0.0,0.0
G0704,24,0.0,0.0
G0746,1,0.0,0.0
G0746,2,0.0,0.0
G0746,3,0.0,0.0
G0746,4,0.0,0.0
G0746,5,0.0,0.0
G0746,6,0.0,0.0
G0746,7,0.0,0.0
G0746,8,0.0,0.0
G0746,9,0.0,0.0
G0746,10,0.0,0.0
G0746,11,0.0,0.0
G0746,12,0.0,0.0
G0746,13,0.0,0.0
G0746,14,0.0,0.0
G0746,15,0.0,0.0
G0746,16,0.0,0.0
G0746,17,0.0,0.0
G0746,18,0.0,0.0
G0746,19,0.0,0.0
G0746,20,0.0,0.0
G0746,21,0.0,0.0
G0746,22,0.0,0.0
G0746,23,0.0,0.0
G0746,24,0.0,0.0
G0845,1,0.0,0.0
G0845,2,0.0,0.0
G0845,3,0.0,0.0
G0845,4,0.0,0.0
G0845,5,0.0,0.0
G0845,6,0.0,0.0
G0845,7,0.0,0.0
G0845,8,0.0,0.0
G0845,9,0.0,0.0
G0845,10,0.0,0.0
G0845,11,0.0,0.0
G0845,12,0.0,0.0
G0845,13,0.0,0.0
G0845,14,0.0,0.0
G0845,15,0.0,0.0
G0845,16,0.0,0.0
G0845,17,0.0,0.0
G0845,18,0.0,0.0
G0845,19,0.0,0.0
G0845,20,0.0,0.0
G0845,21,0.0,0.0
G0845,22,0.0,0.0
G0845,23,0.0,0.0
G0845,24,0.0,0.0
G0846,1,0.0,0.0
G0846,2,0.0,0.0
G0846,3,0.0,0.0
G0846,4,0.0,0.0
G0846,5,0.0,0.0
G0846,6,0.0,0.0
G0846,7,0.0,0.0
G0846,8,0.0,0.0
G0846,9,0.0,0.0
G0846,10,0.0,0.0
G0846,11,0.0,0.0
G0846,12,0.0,0.0
G0846,13,0.0,0.0
G0846,14,0.0,0.0
G0846,15,0.0,0.0
G0846,16,0.0,0.0
G0846,17,0.0,0.0
G0846,18,0.0,0.0
G0846,19,0.0,0.0
G0846,20,0.0,0.0
G0846,21,0.0,0.0
G0846,22,0.0,0.0
G0846,23,0.0,0.0
G0846,24,0.0,0.0
G0039,1,366.0,0.0
G0039,2,366.0,0.0
G0039,3,366.0,0.0
G0039,4,366.0,0.0
G0039,5,366.0,0.0
G0039,6,366.0,0.0
G0039,7,366.0,0.0
G0039,8,366.0,0.0
G0039,9,15.084551042567938,0.0
G0039,10,366.0,0.0
G0039,11,208.37038143341857,0.0
G0039,12,366.0,0.0
G0039,13,276.63948967511305,0.0
G0039,14,153.2078563022892,0.0
G0039,15,366.0,0.0
G0039,16,366.0,0.0
G0039,17,0.0,0.0
G0039,18,263.4646666583637,0.0
G0039,19,366.0,0.0
G0039,20,324.3271034965768,0.0
G0039,21,366.0,0.0
G0039,22,366.0,0.0
G0039,23,366.0,0.0
G0039,24,366.0,0.0
G0040,1,369.0,0.0
G0040,2,369.0,0.0
G0040,3,369.0,0.0
G0040,4,369.0,0.0
G0040,5,369.0,0.0
G0040,6,369.0,0.0
G0040,7,369.0,0.0
G0040,8,369.0,0.0
G0040,9,369.0,0.0
G0040,10,369.0,0.0
G0040,11,0.0,0.0
G0040,12,369.0,0.0
G0040,13,0.0,0.0
G0040,14,369.0,0.0
G0040,15,369.0,0.0
G0040,16,369.0,0.0
G0040,17,0.0,0.0
G0040,18,369.0,0.0
G0040,19,369.0,0.0
G0040,20,369.0,0.0
G0040,21,369.0,0.0
G0040,22,369.0,0.0
G0040,23,369.0,0.0
G0040,24,369.0,0.0
G0058,1,556.0,0.0
G0058,2,556.0,0.0
G0058,3,556.0,0.0
G0058,4,556.0,0.0
G0058,5,556.0,0.0
G0058,6,556.0,0.0
G0058,7,556.0,0.0
G0058,8,556.0,0.0
G0058,9,556.0,0.0
G0058,10,556.0,0.0
G0058,11,0.0,0.0
G0058,12,556.0,0.0
G0058,13,556.0,0.0
G0058,14,556.0,0.0
G0058,15,556.0,0.0
G0058,16,556.0,0.0
G0058,17,0.0,0.0
G0058,18,556.0,0.0
G0058,19,556.0,0.0
G0058,20,0.0,0.0
G0058,21,556.0,0.0
G0058,22,556.0,0.0
G0058,23,556.0,0.0
G0058,24,556.0,0.0
G0059,1,360.0,0.0
G0059,2,360.0,0.0
G0059,3,360.0,0.0
G0059,4,360.0,0.0
G0059,5,360.0,0.0
G0059,6,360.0,0.0
